int_rank,like_rank,interactions,video_id,video_title,upload_date,upload_time,view_count,like_count,comment_count,video_duration,tags
11,145,6.73,YzKRue-0mAY,GCN Track Cycling Challenge | Velodrome Rookies Try The Kilo!,24/07/2021,09:00:28,215336,7642,699,16:43,"['track', 'track bike', 'challenge', 'vs', 'presenter challenge', 'aero', 'geraint thomas', 'velodrome', 'geraint thomas velodrome', 'wales', 'aerodynamic', 'fast', 'track tech', 'track bicycle', 'single-speed', 'single', 'speed', 'one by', 'chainring', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'sec-feature', 'ិ', 'ꗧ', 'ଐ', 'ꗶ', 'ཋ', 'ସ', 'ଙ', 'ホ', 'ᠫ', 'ケ', 'ළ', 'Ա', 'Ժ', 'Լ', 'Ծ', 'Ձ', 'ፕ1', 'ጎ', 'ጞ', '꘎', '4401', 'manon', 'lloyd', 'alex', 'paton', 'conor', 'dunne', 'track bikes', 'track cyclist', 'track rider', 'sprint']"
12,13,6.71,Q17SFTCMoT8,We Gave A Pro Mountain Biker A Gravel Bike amp; This Is What Happened,05/06/2021,09:00:20,599346,28619,1167,06:59,"['gravel', 'gravel bike', 'mountain bike', 'mtb', 'mountain biker', 'what can a gravel bike do', 'pinarello', 'grevil', 'shred', 'jump', 'jumps', 'off-road', 'dirt', 'dirt jumps', 'gnarly', 'wind', 'hill', 'bike park', 'root', 'road bike', 'what is a gravel bike', 'downhill', 'DH', 'freeride', 'freestyle', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'blake', 'samson', 'sec-feature', 'ិ', 'ꔈ', 'ꗶ', 'ཋ', 'ସ', 'ଙ', 'ホ', 'ケ', 'ィ', 'ᢈ', 'ዩ', 'ළ', 'Բ', 'Ժ', 'Ձ', 'ፕ24', 'ズ', 'ፎ', '4352']"
13,218,6.63,uBI5g18z4JM,An Announcement From GCN,01/04/2017,07:00:43,196051,5300,779,04:57,"['hour record', 'april 1 video', 'april fools', 'april fool', 'gcn hour record', 'gcn triplet', 'gcn tandem', 'tandem hour record', 'hour record cycling', 'alex dowsett', 'london velodromeGCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Road Bike', 'Cyclist', 'GCN Cycling', 'Cycling Tips', 'Bikes', 'Bicycle (Product Category)', 'cycling workout', 'cycling training', 'velo', 'ap17', 'sec-feature', 'sca15', 'gc11shs', 'gc04s1', 'c3', 'gc11sas', 'd1', 'p1', 'Ա', 'Լ', 'Ձ']"
14,39,6.56,Mhl2av1bmrE,Can You Ride 100 Miles On A £100 Bike? | GCN#39;s Cheap Bike Challenge,16/08/2020,09:00:10,725559,17757,2995,18:45,"['100 miles', 'century', 'yorkshire', 'peak district', 'cheap bike', 'second hand bike', 'sunrise', 'sunrise ride', '£100 bike', 'garage sale', 'yard sale', 'bike jumble', 'down tube shifters', 'wyman brakes', 'north of england', '100 miler', 'friction shifters', 'triumph bike', '160km', 'route', 'route planning', 'GCN Tech', 'GCNTech', 'Bike Tech', 'Cycling Tech', 'Road Bicycle', 'Retro Tech', 'Retro Bike', 'GCN Cycling', 'manon', 'lloyd', 'ஔ', '4059', 'Ѯ', 'ҩ', 'Ѵ', 'Ҁ', 'Ѿ', 'Ә', 'Ѩ', 'gc11shs', 'gc11sas', 'ホ', 'ፕ15', 'ସ', 'Ղ', 'ሙ', 'ළ']"
15,130,6.51,Jop-k1PAzEc,Is It Better To Train Fasted? | Fasting For Cycling Explained,04/01/2020,10:00:07,202778,8187,511,10:53,"['fasting', 'intermittent', 'intermittent fasting', 'recovery', 'health', 'science', 'hormones', 'healthy', 'weight', 'weight loss', 'weight gain', 'lose weight', 'lose', 'fat', 'skinny', 'fast', 'overnight fast', 'eating', 'eat', 'healthy eating', 'workout', '5:2', 'fasted', 'training', 'carbohydrate', 'energy', 'rides', 'fasted rides', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'GCN Cycling', 'velo', 'ollie', 'sec-feature', 'sca15', 'gc21s', 'ិ', 'gc11shs', 'ඃ', 'c3', 'r1', 'c1', 'h3', 'gc11sas', 'Ղ', 'ཋ', 'ሙ', 'ළ', 'Գ', 'Ե', 'ፕ15', '3834', 'diet']"
16,398,6.43,cq5O5LPs-ZM,Look Like A Pro On The Bike - Style Tips From Adam Blythe,28/04/2023,09:00:21,59081,1550,235,10:19,"['adam blythe', 'cycling style guide', 'cycling style rules', 'cycle style', 'style', 'cycling fashion', 'fashion', 'gold bike', 'adam blythe gold bike', 'adam blythe bike', 'adam blythe gcn', 'look cool', 'look like a pro', 'dress like a pro', 'cycling kit', 'white shorts', 'hot or not', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Road Cycling', 'Cyclist', 'GCN Cycling', 'how to', 'bike skills', 'cycling skills', 'sec-how-to', 'gc21s', 'ꗧ', 'ꔈ', 'ꗶ', 'Ղ', 'n1', 'ሙ', 'ସ', 'ଙ', 'ළ', 'ꔹ', 'Ꮽ', 'Ա', 'Լ', 'Ծ', 'Հ', 'ፕ17', 'ザ', 'ዾ']"
17,242,6.39,XTWGFWL2UdA,How To Improve Your Roller Skills | Ruby Isaac#39;s Pro Cycling Tips,09/04/2021,09:00:09,143998,4771,451,08:51,"['rollers', 'turbo', 'indoor', 'training', 'roll', 'how to ride rollers', 'bike rollers', 'crash', 'falling off', 'learn', 'learning', 'how to', 'skill', 'skills', 'ruby', 'isaac', 'no', 'hands', 'no hands', 'trick', 'tricks', 'mount', 'dismount', 'get started', 'on rollers', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'How To', 'bike skills', 'cycling skills', 'GCN Cycling', 'velo', 'manon', 'lloyd', 'sec-how-to', 'ិ', 'ꗧ', 'r1', 'ꗶ', 'Ꮋ', 'n1', 'Ղ', 'ሙ', 'ସ', 'ଙ', 'ケ', 'ィ', 'ළ', 'Բ', 'Ե', 'Ձ', 'ፕ17', 'ェ', 'ጎ', '4295']"
18,234,6.36,v9SXdpj8mV4,You Know You#39;re A Proper Cyclist When... | GCN Show Ep. 419,19/01/2021,18:04:35,223155,4929,933,30:21:00,"['proper', 'cyclist', 'cycling problems', 'crash', 'crashing', 'money', 'expensive', 'obsession', 'passion', 'raving', 'nerd', 'dork', 'gear', 'aero', 'boring', 'biker', 'rider', 'rite', 'of', 'passage', 'badge', 'honour', 'real', 'cycling achievement', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'gcn show', 'the gcn show', 'Road Bicycle', 'GCN Cycling', 'velo', 'dan', 'lloyd', 'si', 'richardson', 'པ', 'gc21s', 'ិ', 'gc11shs', 'ଐ', 'gc11sas', 'n1', 'ක', 'Ղ', 'ཋ', 'ሩ', 'ସ', 'ଙ', 'ホ', 'ው', 'ꖐ', 'ꔴ', 'ළ', 'Բ', 'Ե', 'Լ', 'Ծ', 'Ձ', 'ፕ3', 'ヅ', 'ዎ', 'ኾ', '3849']"
19,243,6.27,oVN7iLCoyyc,Homemade ‘Rocket Fuel’?! | How To Make A 2400 Calorie Energy Drink amp; Other Top Cycling Recipes,13/10/2021,11:48:59,151566,4760,483,13:41,"['recipes', 'cycling recipes', 'fuel', 'fuelling', 'feed', 'feeding', 'how to fuel', 'what to eat', 'eat', 'food', 'on the bike', 'on a ride', 'riding', 'long ride', 'race', 'cycling', 'drinking', 'drink', 'energy drink', 'calories', 'nutrition', 'cycling nutrition', 'world tour', 'worldtour', 'bonk', 'bonking', 'rice cakes', 'endurance', 'pro', 'pro cyclist', 'bottle', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'conor', 'conor dunne', 'sec-feature', 'ሩ', 'ළ', 'Բ', 'Ժ', 'Լ', 'Ծ', 'Հ', 'ፕ15', 'ザ', 'ጞ', '4482']"
20,147,6.26,UIzAkBLN9uM,"NEW SHIMANO DURA-ACE R9200 IS HERE! | 12 Speed, Hyperglide +, Wireless, amp; More!",31/08/2021,16:00:13,324490,7558,1285,19:38,"['shimano', 'dura-ace', 'new groupset', 'gearset', 'groupset', 'pro', 'kit', 'high', 'tech', 'high-tech', 'modern', 'wireless', 'aero', 'super', 'super aero', 'optimised', 'hyperglide', '12 speed', 'tweleve', 'speed', 'gears', '12', 'plus', 'GRX', 'disc', 'brakes', 'rim', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'Road Bicycle', 'GCN Cycling', 'velo', 'sec-feature', 'sca15', 'ិ', 'ꗧ', 'ꗶ', 'n1', 'ཋ', 'ସ', 'ଙ', 'ホ', 'ケ', 'ィ', '߶\u200e', 'ዩ', 'ළ', 'Բ', 'Ժ', 'Ի', 'Ծ', 'Ձ', 'ፕ15', 'サ', 'ኾ', 'ዮ', '4437', 'ultegra', 'lightweight', 'light', 'new', 'hot', 'first', 'look', 'unveil']"
